sample_name	target	off_target	off_target_cosine	off_target_rank	source
dec_BTK_0143	BTK	BMX	0.2202	42	exact
dec_BTK_0143	BTK	TEC	0.2425	4	exact
dec_BTK_0143	BTK	ERBB2	0.1322		exact
dec_BTK_0143	BTK	ERBB4	0.1460		exact
dec_BTK_0144	BTK	CSK	0.0938		exact
dec_BTK_0144	BTK	ITK	0.1783	50	exact
dec_BTK_0144	BTK	EGFR	0.0384		exact
dec_BTK_0144	BTK	BMX	0.2575	41	exact
dec_BTK_0144	BTK	TEC	0.2114	48	exact
dec_BTK_0144	BTK	ERBB2	0.0328		exact
dec_BTK_0144	BTK	ERBB4	0.0304		exact
dec_BTK_0145	BTK	CSK	0.1947	67	exact
dec_BTK_0145	BTK	ITK	0.2502	35	exact
dec_BTK_0145	BTK	EGFR	0.1245		exact
dec_BTK_0145	BTK	BMX	0.2584	33	exact
dec_BTK_0145	BTK	TEC	0.2449	36	exact
dec_BTK_0145	BTK	ERBB2	0.1217		exact
dec_BTK_0145	BTK	ERBB4	0.1361		exact
dec_BTK_0146	BTK	CSK	0.1567		exact
dec_BTK_0146	BTK	ITK	0.2117	57	exact
dec_BTK_0146	BTK	EGFR	0.1174		exact
dec_BTK_0146	BTK	BMX	0.2229	53	exact
dec_BTK_0146	BTK	TEC	0.2326	44	exact
dec_BTK_0146	BTK	ERBB2	0.1475		exact
dec_BTK_0146	BTK	ERBB4	0.1250		exact
dec_BTK_0147	BTK	CSK	0.1231		exact
dec_BTK_0147	BTK	ITK	0.2251	6	exact
dec_BTK_0147	BTK	EGFR	0.1743		exact
dec_BTK_0147	BTK	BMX	0.2085	47	exact
dec_BTK_0147	BTK	TEC	0.2357	4	exact
dec_BTK_0147	BTK	ERBB2	0.2038	52	exact
dec_BTK_0147	BTK	ERBB4	0.1905		exact
dec_BTK_0149	BTK	CSK	0.0922		exact
dec_BTK_0149	BTK	ITK	0.2095	50	exact
dec_BTK_0149	BTK	EGFR	0.0060		exact
dec_BTK_0149	BTK	BMX	0.2650	41	exact
dec_BTK_0149	BTK	TEC	0.2084	65	exact
dec_BTK_0149	BTK	ERBB2	0.0140		exact
dec_BTK_0149	BTK	ERBB4	0.0059		exact
dec_BTK_0151	BTK	CSK	0.0961		exact
dec_BTK_0151	BTK	ITK	0.1651	58	exact
dec_BTK_0151	BTK	EGFR	0.0447		exact
dec_BTK_0151	BTK	BMX	0.2450	41	exact
dec_BTK_0151	BTK	TEC	0.2035	48	exact
dec_BTK_0151	BTK	ERBB2	0.0413		exact
dec_BTK_0151	BTK	ERBB4	0.0325		exact
dec_BTK_0152	BTK	CSK	0.1121		exact
dec_BTK_0152	BTK	ITK	0.2084	41	exact
dec_BTK_0152	BTK	EGFR	0.1012		exact
dec_BTK_0152	BTK	BMX	0.2416	5	exact
dec_BTK_0152	BTK	TEC	0.2033	42	exact
dec_BTK_0152	BTK	ERBB2	0.1194		exact
dec_BTK_0152	BTK	ERBB4	0.1108		exact
dec_BTK_0153	BTK	CSK	0.0922		exact
dec_BTK_0153	BTK	ITK	0.2095	50	exact
dec_BTK_0153	BTK	EGFR	0.0060		exact
dec_BTK_0153	BTK	BMX	0.2650	41	exact
dec_BTK_0153	BTK	TEC	0.2084	65	exact
dec_BTK_0153	BTK	ERBB2	0.0140		exact
dec_BTK_0153	BTK	ERBB4	0.0059		exact
dec_BTK_0154	BTK	CSK	0.1020		exact
dec_BTK_0154	BTK	ITK	0.2516	4	exact
dec_BTK_0154	BTK	EGFR	0.1484	73	exact
dec_BTK_0154	BTK	BMX	0.2228	57	exact
dec_BTK_0154	BTK	TEC	0.2295	13	exact
dec_BTK_0154	BTK	ERBB2	0.1844		exact
dec_BTK_0154	BTK	ERBB4	0.1676		exact
dec_CDK4_0161	CDK4	CDK1	0.2598	13	exact
dec_CDK4_0161	CDK4	CDK2	0.2088	21	exact
dec_CDK4_0161	CDK4	CDK7	0.1771		exact
dec_CDK4_0161	CDK4	CDK9	0.1191		exact
dec_CDK4_0162	CDK4	CDK1	0.2412	13	exact
dec_CDK4_0162	CDK4	CDK2	0.1866		exact
dec_CDK4_0162	CDK4	CDK7	0.1782		exact
dec_CDK4_0162	CDK4	CDK9	0.1276		exact
dec_CDK4_0164	CDK4	CDK1	0.2196	15	exact
dec_CDK4_0164	CDK4	CDK2	0.1798		exact
dec_CDK4_0164	CDK4	CDK7	0.1832		exact
dec_CDK4_0164	CDK4	CDK9	0.1329		exact
dec_CDK4_0167	CDK4	CDK1	0.2161	16	exact
dec_CDK4_0167	CDK4	CDK2	0.1564		exact
dec_CDK4_0167	CDK4	CDK7	0.1536		exact
dec_CDK4_0167	CDK4	CDK9	0.0996		exact
dec_CDK4_0168	CDK4	CDK1	0.2419	14	exact
dec_CDK4_0168	CDK4	CDK2	0.1781		exact
dec_CDK4_0168	CDK4	CDK7	0.1988		exact
dec_CDK4_0168	CDK4	CDK9	0.1500		exact
dec_CDK4_0169	CDK4	CDK1	0.2371	13	exact
dec_CDK4_0169	CDK4	CDK2	0.1954		exact
dec_CDK4_0169	CDK4	CDK7	0.1665		exact
dec_CDK4_0169	CDK4	CDK9	0.1307		exact
dec_CDK4_0171	CDK4	CDK1	0.2140	17	exact
dec_CDK4_0171	CDK4	CDK2	0.1700		exact
dec_CDK4_0171	CDK4	CDK7	0.1768		exact
dec_CDK4_0171	CDK4	CDK9	0.1140		exact
dec_CDK4_0172	CDK4	CDK1	0.2190	14	exact
dec_CDK4_0172	CDK4	CDK2	0.1619		exact
dec_CDK4_0172	CDK4	CDK7	0.1685		exact
dec_CDK4_0172	CDK4	CDK9	0.1323		exact
dec_CDK4_0173	CDK4	CDK1	0.2467	19	exact
dec_CDK4_0173	CDK4	CDK2	0.2299	17	exact
dec_CDK4_0173	CDK4	CDK7	0.2308		exact
dec_CDK4_0173	CDK4	CDK9	0.1472		exact
dec_CDK4_0174	CDK4	CDK1	0.1888	39	exact
dec_CDK4_0174	CDK4	CDK2	0.1397		exact
dec_CDK4_0174	CDK4	CDK7	0.1463		exact
dec_CDK4_0174	CDK4	CDK9	0.1101		exact
dec_CDK4_0175	CDK4	CDK1	0.1896	14	exact
dec_CDK4_0175	CDK4	CDK2	0.1251		exact
